date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:05:54	10809/10809	---M-Z	200	added ('OK')	text/html	etag:%222a39-5fdfe0d8f7050-gzip%22	https://ys.ghu.edu.cn/info/1045/1553.htm	D:/My%20Websites/SJJ/ys.ghu.edu.cn/info/1045/1553.html	(from )
21:05:55	1693/1693	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jun%202023%2013:06:13%20GMT	https://ys.ghu.edu.cn/robots.txt		(from )
21:05:55	9958/9958	---M-Z	200	added ('OK')	text/css	etag:%2226e6-5dd8c6ab59bc0-gzip%22	https://ys.ghu.edu.cn/css/style.css	D:/My%20Websites/SJJ/ys.ghu.edu.cn/css/style.css	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:56	20/20	---M--	200	added ('OK')	text/css	etag:%2214-5fdfcc74bbde8-gzip%22	https://ys.ghu.edu.cn/_sitegray/_sitegray_d.css	D:/My%20Websites/SJJ/ys.ghu.edu.cn/_sitegray/_sitegray_d.css	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:56	95/95	---M-Z	200	added ('OK')	application/javascript	etag:%225f-5fdfcc74bbde8-gzip%22	https://ys.ghu.edu.cn/_sitegray/_sitegray.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/_sitegray/_sitegray.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:57	1693/1693	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2026%20Jun%202023%2013:06:15%20GMT	https://ys.ghu.edu.cn/content.vsb.css	D:/My%20Websites/SJJ/ys.ghu.edu.cn/content.vsb.css	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:57	1329/1329	---M-Z	200	added ('OK')	application/javascript	etag:%22531-4f96e011959c0-gzip%22	https://ys.ghu.edu.cn/system/resource/js/counter.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/counter.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:57	3504/3504	---M-Z	200	added ('OK')	application/javascript	etag:%22db0-5662bbcef9cc0-gzip%22	https://ys.ghu.edu.cn/system/resource/js/dynclicks.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/dynclicks.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:58	648/648	---M-Z	200	added ('OK')	application/javascript	etag:%22288-4b6b4900d4580-gzip%22	https://ys.ghu.edu.cn/system/resource/js/openlink.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/openlink.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:58	1494/1494	---M-Z	200	added ('OK')	application/javascript	etag:%225d6-5fdfcf562d068-gzip%22	https://ys.ghu.edu.cn/_dwr/interface/NewsvoteDWR.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/_dwr/interface/NewsvoteDWR.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:05:58	47704/47704	---M-Z	200	added ('OK')	application/javascript	etag:%22ba58-5fdfcf562d450-gzip%22	https://ys.ghu.edu.cn/_dwr/engine.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/_dwr/engine.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:00	13878/13878	---M-Z	200	added ('OK')	application/javascript	etag:%223636-5a72886674ac0-gzip%22	https://ys.ghu.edu.cn/system/resource/js/news/newscontent.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/news/newscontent.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:00	3754/3754	---M-Z	200	added ('OK')	text/css	etag:%22eaa-51122b04dc400-gzip%22	https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/photoswipe.css	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/photoswipe.css	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:01	2346/2346	---M-Z	200	added ('OK')	application/javascript	etag:%2292a-51122b04dc400-gzip%22	https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/klass.min.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/klass.min.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:01	6767/6767	---M-Z	200	added ('OK')	application/javascript	etag:%221a6f-514472f56bb40-gzip%22	https://ys.ghu.edu.cn/system/resource/js/ajax.js	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/ajax.js	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:02	86007/86007	---M--	200	added ('OK')	image/jpeg	etag:%2214ff7-5f3d6a0ce9f80-gzip%22	https://ys.ghu.edu.cn/__local/6/6E/CF/D87C24DE0346FBD47CE01A78A03_81173E6F_14FF7.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/__local/6/6E/CF/D87C24DE0346FBD47CE01A78A03_81173E6F_14FF7.jpg	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:02	91215/91215	---M--	200	added ('OK')	image/jpeg	etag:%221644f-5f3d6a0fc6640-gzip%22	https://ys.ghu.edu.cn/__local/4/92/1D/75045BE8E9C872A58653B7CE953_BA322D1B_1644F.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/__local/4/92/1D/75045BE8E9C872A58653B7CE953_BA322D1B_1644F.jpg	(from https://ys.ghu.edu.cn/info/1045/1553.htm)
21:06:03	117252/117252	---M--	200	added ('OK')	image/jpeg	etag:%221ca04-5dd495b707100-gzip%22	https://ys.ghu.edu.cn/images/t2-bk.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/t2-bk.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:03	10568/10568	---M--	200	added ('OK')	image/jpeg	etag:%222948-5dd495b7fb340-gzip%22	https://ys.ghu.edu.cn/images/t3-bk.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/t3-bk.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:03	235986/235986	---M--	200	added ('OK')	image/jpeg	etag:%22399d2-5f454565e3cc0-gzip%22	https://ys.ghu.edu.cn/images/t1-bk.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/t1-bk.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:03	6730/6730	---M--	200	added ('OK')	image/jpeg	etag:%221a4a-5dd495b7fb340-gzip%22	https://ys.ghu.edu.cn/images/t4-bk.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/t4-bk.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:03	4740/4740	---M--	200	added ('OK')	image/jpeg	etag:%221284-5dd495b612ec0-gzip%22	https://ys.ghu.edu.cn/images/t4-bk2.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/t4-bk2.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:04	160001/160001	---M--	200	added ('OK')	image/jpeg	etag:%2227101-5f453f423c0c0-gzip%22	https://ys.ghu.edu.cn/images/tt1.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/tt1.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:04	7540/7540	---M--	200	added ('OK')	image/jpeg	etag:%221d74-5dd495b7fb340-gzip%22	https://ys.ghu.edu.cn/images/tt2.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/tt2.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:04	23315/23315	---M--	200	added ('OK')	image/jpeg	etag:%225b13-5dd495b707100-gzip%22	https://ys.ghu.edu.cn/images/tt3.jpg	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/tt3.jpg	(from https://ys.ghu.edu.cn/css/style.css)
21:06:04	32838/32838	---M--	200	added ('OK')	image/png	etag:%228046-5dd495b612ec0-gzip%22	https://ys.ghu.edu.cn/images/sjcdsj-bk.png	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/sjcdsj-bk.png	(from https://ys.ghu.edu.cn/css/style.css)
21:06:04	2560/2560	---M--	200	added ('OK')	image/png	etag:%22a00-5dd495b7fb340-gzip%22	https://ys.ghu.edu.cn/images/sjcdsj-navbk.png	D:/My%20Websites/SJJ/ys.ghu.edu.cn/images/sjcdsj-navbk.png	(from https://ys.ghu.edu.cn/css/style.css)
21:06:05	3208/3208	---M--	200	added ('OK')	image/gif	etag:%22c88-51122b04dc400-gzip%22	https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/loader.gif	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/loader.gif	(from https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/photoswipe.css)
21:06:05	3431/3431	---M--	200	added ('OK')	image/gif	etag:%22d67-51122b04dc400-gzip%22	https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/error.gif	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/error.gif	(from https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/photoswipe.css)
21:06:05	3346/3346	---M--	200	added ('OK')	image/png	etag:%22d12-51122b04dc400-gzip%22	https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/icons.png	D:/My%20Websites/SJJ/ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/icons.png	(from https://ys.ghu.edu.cn/system/resource/js/photoswipe/3.0.5.1/photoswipe.css)
